NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1609-0018,9/19/2016 10:48,261,9.036,37.83,76.8
M1609-0019,1/11/2024 9:53,248.9,8.782,37.24,76.5
M1609-0019,9/19/2016 10:44,260.3,9.035,37.77,76.7
M1609-0020,1/4/2024 10:13,249.7,8.818,37.3,76.3
M1609-0020,9/19/2016 10:36,261.1,9.06,37.8,76.7
M1609-0046,1/11/2024 9:58,250.9,8.772,37.4,76.9
M1609-0046,9/20/2016 12:06,259.4,9.031,37.72,76.6
M1609-0047,4/18/2024 10:39,253.8,8.9,37.45,76.6
M1609-0047,9/9/2022 8:43,248.6,8.764,37.22,76.6
M1609-0047,4/7/2021 11:26,250.1,8.806,37.27,76.6
M1609-0047,9/15/2020 10:23,245.2,8.714,37,76.4
M1609-0047,3/24/2020 10:38,250.8,8.819,37.32,76.6
M1609-0047,6/3/2019 8:31,254.8,8.909,37.51,76.7
M1609-0047,10/29/2018 10:57,249.7,8.784,37.26,76.7
M1609-0047,5/10/2018 9:47,252.5,8.844,37.41,76.7
M1609-0047,9/11/2017 9:30,250.5,8.782,37.35,76.8
M1609-0047,9/20/2016 11:37,259.4,9.01,37.73,76.8
M1609-0048,1/11/2024 10:03,251.9,8.843,37.45,76.5
M1609-0048,9/20/2016 11:48,259.8,9.043,37.73,76.6
M1609-0049,1/11/2024 10:16,252,8.89,37.45,76.1
M1609-0049,9/20/2016 11:45,259.5,9.062,37.74,76.3
M1609-0055,4/18/2024 10:32,251.7,8.829,37.39,76.7
M1609-0055,9/9/2022 8:50,243.4,8.683,36.95,76.3
M1609-0055,4/7/2021 11:12,244.9,8.721,37,76.3
M1609-0055,9/15/2020 10:11,240.7,8.649,36.77,76.1
M1609-0055,9/15/2020 10:09,241,8.648,36.79,76.2
M1609-0055,3/24/2020 10:57,247.8,8.723,37.2,76.8
M1609-0055,6/3/2019 8:22,253.9,8.895,37.48,76.6
M1609-0055,10/29/2018 11:06,247.3,8.71,37.16,76.8
M1609-0055,5/10/2018 9:27,252,8.834,37.4,76.7
M1609-0055,9/11/2017 9:03,248.6,8.778,37.23,76.5
M1609-0055,9/20/2016 11:39,259.3,9.021,37.72,76.6
M1609-0057,1/4/2024 10:19,248.1,8.705,37.23,77
M1609-0057,9/20/2016 12:02,259.9,9.051,37.71,76.6
M1609-0058,10/29/2018 10:51,249.2,8.817,37.24,76.3
M1609-0058,5/10/2018 9:41,253,8.892,37.46,76.4
M1609-0058,9/11/2017 9:16,250.4,8.842,37.35,76.2
M1609-0058,9/20/2016 12:25,260.9,9.023,37.83,76.9
M1609-0059,9/29/2022 15:33,250.2,8.855,37.19,76.2
M1609-0059,9/9/2022 8:28,250.1,8.864,37.33,76
M1609-0059,4/7/2021 11:21,252.8,8.915,37.44,76.2
M1609-0059,9/15/2020 10:29,248.4,8.83,37.22,76
M1609-0059,6/3/2019 8:36,255.8,8.956,37.59,76.4
M1609-0059,10/29/2018 11:14,252.9,8.899,37.47,76.3
M1609-0059,5/10/2018 9:52,255.1,8.959,37.55,76.3
M1609-0059,9/11/2017 9:26,253.3,8.913,37.51,76.2
M1609-0059,9/20/2016 12:16,260.5,9.05,37.8,76.6
M1609-0061,1/11/2024 10:07,249.7,8.758,37.35,76.7
M1609-0061,9/20/2016 12:11,259.7,9.028,37.77,76.6
M1609-0062,1/4/2024 10:24,251.2,8.838,37.37,76.5
M1609-0062,9/20/2016 12:14,260.5,9.027,37.77,76.8
M1609-0063,1/4/2024 10:35,247.9,8.753,37.27,76.4
M1609-0063,9/20/2016 12:08,259.8,9.033,37.75,76.6
M1609-0065,4/18/2024 10:49,252.7,8.882,37.47,76.4
M1609-0065,9/7/2017 10:35,258.6,8.981,37.78,76.6
M1609-0065,9/20/2016 12:29,259.4,9.01,37.78,76.6
M1609-0066,4/18/2024 10:27,253.3,8.868,37.44,76.7
M1609-0066,9/9/2022 8:36,248.1,8.773,37.21,76.4
M1609-0066,4/7/2021 11:16,250.6,8.825,37.3,76.5
M1609-0066,9/15/2020 10:02,246,8.723,37.07,76.5
M1609-0066,3/24/2020 10:46,252.2,8.836,37.4,76.7
M1609-0066,6/3/2019 8:27,255.7,8.935,37.55,76.7
M1609-0066,10/29/2018 11:02,251.5,8.811,37.37,76.8
M1609-0066,5/10/2018 9:32,255.2,8.915,37.55,76.7
M1609-0066,9/11/2017 9:12,252.2,8.831,37.42,76.7
M1609-0066,9/20/2016 11:07,260.3,9.037,37.75,76.7
