NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1609-0011,6/3/2019 8:58,260.8,9.087,37.92,76
M1609-0011,10/29/2018 10:10,257.9,9.063,37.82,75.5
M1609-0011,5/10/2018 9:14,261.1,9.096,37.94,75.9
M1609-0011,9/1/2017 10:27,259.3,9.082,37.89,75.6
M1609-0011,9/15/2016 11:04,264,9.123,38.05,76.3
M1609-0011,9/9/2016 12:01,268.2,9.194,38.18,76.7
M1609-0012,9/12/2022 13:04,255,8.992,37.59,75.7
M1609-0012,10/5/2021 8:18,255.8,8.994,37.67,75.8
M1609-0012,4/7/2021 8:30,260.6,9.07,37.9,76.1
M1609-0012,9/15/2020 9:16,254.6,8.983,37.61,75.6
M1609-0012,6/3/2019 8:08,261.4,9.111,37.87,76
M1609-0012,10/29/2018 10:15,259.7,9.077,37.83,75.9
M1609-0012,5/10/2018 8:53,261.9,9.116,37.91,76
M1609-0012,9/1/2017 10:46,260.9,9.097,37.92,75.9
M1609-0012,9/15/2016 11:06,264.1,9.147,38,76.2
M1609-0012,9/9/2016 12:06,268.4,9.217,38.16,76.6
M1609-0021,12/14/2023 13:49,254.3,8.932,37.66,75.8
M1609-0021,9/16/2016 14:41,264.5,9.15,38,76.3
M1609-0021,9/16/2016 10:34,267.6,9.191,38.14,76.6
M1609-0022,12/12/2023 13:50,253.8,8.943,37.65,75.6
M1609-0022,9/16/2016 14:45,264.8,9.141,38.05,76.4
M1609-0022,9/16/2016 10:31,267.9,9.198,38.15,76.6
M1609-0023,12/14/2023 13:42,251.9,8.95,37.71,74.9
M1609-0023,9/16/2016 14:49,263.2,9.152,38.04,75.8
M1609-0023,9/16/2016 10:23,266,9.195,38.13,76.1
M1609-0024,12/12/2023 15:04,254.4,8.948,37.68,75.7
M1609-0024,9/16/2016 14:36,265,9.145,38.05,76.4
M1609-0024,9/16/2016 10:17,267.9,9.201,38.14,76.6
M1609-0025,12/14/2023 13:35,251.5,8.931,37.68,75
M1609-0025,9/16/2016 14:55,263.5,9.138,38.08,76
M1609-0025,9/16/2016 10:08,265.8,9.187,38.14,76.1
M1609-0026,12/12/2023 14:16,252.1,8.937,37.69,75.1
M1609-0026,9/16/2016 14:52,264.4,9.148,38.09,76.1
M1609-0026,9/16/2016 10:05,266.9,9.197,38.16,76.3
M1609-0027,12/14/2023 13:55,254.3,8.942,37.69,75.7
M1609-0027,9/16/2016 14:31,265.1,9.152,38.04,76.4
M1609-0027,9/16/2016 9:59,267.7,9.205,38.11,76.6
M1609-0028,12/12/2023 14:46,254.8,8.927,37.74,75.9
M1609-0028,9/16/2016 14:28,265.3,9.153,38.1,76.3
M1609-0028,9/16/2016 9:53,267.6,9.189,38.16,76.6
M1609-0029,9/12/2022 13:13,262.3,9.1,37.95,76.2
M1609-0029,10/5/2021 8:41,263.5,9.117,38.02,76.3
M1609-0029,4/7/2021 8:13,263.6,9.121,38.02,76.3
M1609-0029,9/15/2020 9:50,263.5,9.112,38.04,76.3
M1609-0029,6/3/2019 8:48,263.9,9.12,38.04,76.3
M1609-0029,10/29/2018 9:55,263.6,9.119,38.02,76.3
M1609-0029,5/10/2018 8:08,263.4,9.125,37.98,76.3
M1609-0029,9/7/2017 11:40,264,9.112,38.03,76.4
M1609-0029,9/1/2017 11:14,263.8,9.121,37.99,76.4
M1609-0029,9/19/2016 14:21,264.1,9.11,38,76.5
M1609-0032,9/12/2022 13:30,260.8,9.103,38.02,75.6
M1609-0032,10/5/2021 8:46,261.6,9.12,38.05,75.6
M1609-0032,4/7/2021 8:19,262.2,9.124,38.1,75.7
M1609-0032,9/15/2020 9:56,261.7,9.114,38.07,75.7
M1609-0032,3/24/2020 11:03,262.4,9.135,38.1,75.6
M1609-0032,6/3/2019 8:52,262.4,9.138,38.08,75.7
M1609-0032,10/29/2018 9:43,262.1,9.144,38.07,75.6
M1609-0032,5/10/2018 8:15,262.4,9.148,38.07,75.6
M1609-0032,9/7/2017 11:32,262.7,9.15,38.09,75.6
M1609-0032,9/1/2017 10:41,262.7,9.147,38.08,75.7
M1609-0032,9/19/2016 14:08,262.2,9.139,38.01,75.7
M1609-0034,12/12/2023 14:53,256,8.974,37.74,75.9
M1609-0034,9/19/2016 13:56,263.8,9.125,37.97,76.4
M1609-0045,9/12/2022 12:49,255.1,8.987,37.63,75.7
M1609-0045,10/5/2021 8:33,255.9,8.987,37.71,75.8
M1609-0045,4/7/2021 11:03,259.5,9.067,37.83,75.9
M1609-0045,9/15/2020 9:46,255.8,8.981,37.71,75.8
M1609-0045,3/24/2020 11:16,260,9.053,37.89,76.1
M1609-0045,6/3/2019 8:56,261.4,9.088,37.93,76.1
M1609-0045,10/29/2018 10:01,259.4,9.049,37.85,76
M1609-0045,5/10/2018 9:04,261.7,9.086,37.96,76.1
M1609-0045,9/1/2017 10:16,261.2,9.079,37.96,76.1
M1609-0045,9/19/2016 13:40,263.4,9.116,37.99,76.3
